ImageId,Label_Fish,Label_Flower,Label_Gravel,Label_Sugar,Multilabel
0011165.jpg,1,1,0,0,Fish-Flower
002be4f.jpg,1,1,0,1,Fish-Flower-Sugar
0031ae9.jpg,1,1,0,1,Fish-Flower-Sugar
0035239.jpg,0,1,1,0,Flower-Gravel
003994e.jpg,1,0,1,1,Fish-Gravel-Sugar
00498ec.jpg,0,0,1,0,Gravel
006bf7c.jpg,1,0,0,1,Fish-Sugar
006c5a6.jpg,1,0,0,1,Fish-Sugar
008233e.jpg,0,0,0,1,Sugar
008a5ff.jpg,1,0,0,1,Fish-Sugar
0091591.jpg,0,1,1,1,Flower-Gravel-Sugar
0095357.jpg,0,0,0,1,Sugar
009e2f3.jpg,1,0,1,1,Fish-Gravel-Sugar
00a0954.jpg,0,0,1,1,Gravel-Sugar
00b81e1.jpg,0,1,1,1,Flower-Gravel-Sugar
00bea06.jpg,1,0,1,0,Fish-Gravel
00cedfa.jpg,0,0,1,1,Gravel-Sugar
00d4443.jpg,0,0,0,1,Sugar
00dec6a.jpg,1,1,1,1,Fish-Flower-Gravel-Sugar
0100a84.jpg,1,0,1,0,Fish-Gravel
0104b5b.jpg,0,0,0,1,Sugar
0107838.jpg,1,0,1,1,Fish-Gravel-Sugar
0118bff.jpg,0,1,0,1,Flower-Sugar
011ba04.jpg,1,1,0,1,Fish-Flower-Sugar
01242d7.jpg,1,0,1,1,Fish-Gravel-Sugar
014310a.jpg,1,0,0,1,Fish-Sugar
0146ef3.jpg,1,0,0,0,Fish
0153a8b.jpg,1,0,1,1,Fish-Gravel-Sugar
015aa06.jpg,1,1,1,1,Fish-Flower-Gravel-Sugar
015b764.jpg,1,1,0,1,Fish-Flower-Sugar
016c135.jpg,1,0,1,1,Fish-Gravel-Sugar
017ded1.jpg,1,0,0,1,Fish-Sugar
0187cd7.jpg,0,1,1,1,Flower-Gravel-Sugar
01a7865.jpg,0,1,1,1,Flower-Gravel-Sugar
01c6ec3.jpg,0,1,0,0,Flower
01eecc1.jpg,1,0,0,0,Fish
0208ccf.jpg,0,1,0,1,Flower-Sugar
021bb26.jpg,1,0,0,1,Fish-Sugar
0225687.jpg,1,1,1,0,Fish-Flower-Gravel
022a275.jpg,0,0,1,0,Gravel
022d78c.jpg,0,1,1,0,Flower-Gravel
022fd47.jpg,0,0,1,0,Gravel
023accd.jpg,1,1,1,0,Fish-Flower-Gravel
025ad96.jpg,0,0,1,0,Gravel
02601cd.jpg,0,1,1,1,Flower-Gravel-Sugar
0269e9a.jpg,1,1,0,0,Fish-Flower
027000d.jpg,0,0,1,1,Gravel-Sugar
0277e9a.jpg,1,0,1,1,Fish-Gravel-Sugar
028fd83.jpg,0,0,1,1,Gravel-Sugar
028fe8a.jpg,0,1,0,1,Flower-Sugar
029b861.jpg,1,0,0,0,Fish
02b6a5d.jpg,1,0,1,0,Fish-Gravel
02c3e33.jpg,1,0,0,1,Fish-Sugar
030ac75.jpg,1,1,1,0,Fish-Flower-Gravel
031bfc5.jpg,1,0,1,1,Fish-Gravel-Sugar
0326622.jpg,1,0,0,1,Fish-Sugar
0330f49.jpg,1,0,1,0,Fish-Gravel
034a383.jpg,1,1,0,0,Fish-Flower
034ef1c.jpg,1,0,0,0,Fish
0358d2e.jpg,1,0,0,1,Fish-Sugar
0362b0a.jpg,0,1,0,0,Flower
0365c50.jpg,0,1,1,1,Flower-Gravel-Sugar
038407e.jpg,0,1,0,1,Flower-Sugar
03a5e35.jpg,1,0,1,1,Fish-Gravel-Sugar
03b1dc4.jpg,0,0,1,1,Gravel-Sugar
03c3906.jpg,1,1,0,1,Fish-Flower-Sugar
03eb81a.jpg,1,0,0,1,Fish-Sugar
03ed174.jpg,0,1,1,1,Flower-Gravel-Sugar
04029b4.jpg,0,1,0,1,Flower-Sugar
041cc12.jpg,0,1,1,1,Flower-Gravel-Sugar
042bba1.jpg,1,0,1,1,Fish-Gravel-Sugar
042f854.jpg,0,0,1,1,Gravel-Sugar
0432314.jpg,1,1,1,1,Fish-Flower-Gravel-Sugar
0434aa4.jpg,0,1,1,1,Flower-Gravel-Sugar
043e76c.jpg,1,1,1,1,Fish-Flower-Gravel-Sugar
043fe61.jpg,1,1,0,1,Fish-Flower-Sugar
0448942.jpg,1,0,1,0,Fish-Gravel
044b59c.jpg,0,0,0,1,Sugar
0451ee4.jpg,1,0,1,1,Fish-Gravel-Sugar
045e367.jpg,1,0,1,1,Fish-Gravel-Sugar
046586a.jpg,0,0,0,1,Sugar
